Frame Index,TPose Value,Timestamp,Trunk LatBend R/L,Trunk F/E,Trunk Rot R/L,RShould F/E,LShould F/E,RShould Add/Abd,LShould Add/Abd,RHip F/E,LHip F/E,RHip Add/Abd,LHip Add/Abd,RHip Int/Ext Rot,LHip Int/Ext Rot,LElbow F/E,RElbow F/E,RKnee F/E,LKnee F/E,
89,0,490.697,-0.1701742,-1.062752,-0.0656106,37.8604,-174.9142,-88.28044,93.18971,0.2414744,-1.835577,0.2414744,0.07912937,0.9201965,0.1879578,0.7952467,1.410837,1.154705,0.2914124,
90,0,490.722,-0.1519511,-1.005999,-0.1046783,40.61466,-173.619,-88.31846,93.20789,0.2264194,-1.736298,0.2264194,0.05233916,0.8980103,0.1735229,0.7981939,1.400675,1.16634,0.2624426,
91,0,490.747,-0.1384764,-0.9516218,-0.1570175,43.07113,-172.1342,-88.34505,93.22074,0.2193969,-1.639486,0.2193969,0.03956468,0.8804321,0.1571045,0.8006416,1.393251,1.184982,0.234068,
92,0,490.772,-0.1297215,-0.9052542,-0.1938267,45.53067,-170.8664,-88.37178,93.23801,0.2185032,-1.534039,0.2185032,0.02797646,0.8680725,0.1372375,0.8106001,1.403327,1.210792,0.1907741,
93,0,490.797,-0.1235407,-0.8641139,-0.2246844,47.54151,-170.4444,-88.39263,93.27213,0.2185032,-1.436813,0.2185032,0,0.8531494,0.1233521,0.8218675,1.407782,1.230829,0.14537,
94,0,490.822,-0.1153499,-0.8334522,-0.2525642,49.71708,-169.9592,-88.41293,93.29137,0.2148914,-1.358547,0.2148914,0.01978234,0.8426819,0.1157227,0.8303944,1.415545,1.238437,0.1083524,
95,0,490.852,-0.09891172,-0.8120472,-0.2811602,51.77849,-168.9334,-88.43937,93.30665,0.2167048,-1.280542,0.2167048,0,0.8312073,0.1103516,0.8395343,1.416512,1.263156,0.05934703,
96,0,490.877,-0.08622923,-0.7991739,-0.3006659,52.45734,-168.9061,-88.46075,93.31966,0.2176059,-1.215309,0.2176059,-0.02797646,0.8231201,0.1087341,0.8432553,1.411253,1.278247,0.01978234,
97,0,490.9,-0.07401875,-0.7920414,-0.3183671,53.61583,-168.7241,-88.48774,93.32441,0.2246844,-1.163484,0.2246844,-0.04423466,0.8237915,0.1117554,0.8474219,1.418721,1.305663,0,
98,0,490.924,-0.06852804,-0.7893192,-0.3380413,54.51337,-168.636,-88.5043,93.32973,0.2406627,-1.120649,0.2406627,-0.05233916,0.8326721,0.1202087,0.8559229,1.424503,1.343775,0.03426402,
